pedido_id,dia,hub_origen,destino,ruta,paquetes_asignados,paquetes_pendientes
22-0000111,22,EBCI,OMDB,"SBBR-EHAM@D22 | SVMI-SEQM@D22 | OAKB-LBSF@D22 | SABE-LOWW@D22 | SLLP-EKCH@D22",54,0
22-0000112,22,EBCI,OJAI,"OMDB-SBBR@D22 | EDDI-OERK@D22 | SVMI-OAKB@D22 | LOWW-SCEL@D22 | LDZA-SLLP@D22",180,0
22-0000113,22,EBCI,UMMS,"LBSF-OAKB@D22 | UBBB-OYSN@D22 | UBBB-OJAI@D22 | SABE-UBBB@D22 | EBCI-SLLP@D22",140,40
22-0000113,22,EBCI,UMMS,"EDDI-UMMS@D22 | EHAM-SLLP@D22 | OMDB-SLLP@D22 | EBCI-LBSF@D22 | LKPR-SGAS@D22",33,7
22-0000113,22,EBCI,UMMS,"OERK-LATI@D22 | OOMS-UMMS@D22 | SABE-OJAI@D22 | OYSN-OMDB@D22 | UBBB-SPIM@D22",7,0
22-0000114,22,SPIM,SVMI,"SVMI-OMDB@D22 | SBBR-SLLP@D22 | LBSF-OJAI@D22 | SBBR-SPIM@D22 | OERK-LKPR@D22",148,33
22-0000114,22,SPIM,SVMI,"SBBR-OOMS@D22 | SCEL-LBSF@D22 | LKPR-LATI@D22 | OYSN-SCEL@D22 | OERK-SGAS@D22",33,0
22-0000115,22,UBBB,SKBO,"SUAA-EBCI@D22 | SLLP-LATI@D22 | OPKC-LATI@D22 | EBCI-OYSN@D22 | OSDI-SLLP@D22",181,0
23-0000116,23,SPIM,SEQM,"SLLP-OJAI@D23 | OMDB-OSDI@D23 | OERK-OSDI@D23 | SPIM-EKCH@D23 | SLLP-LATI@D23",182,0
23-0000117,23,SPIM,SBBR,"OERK-OOMS@D23 | OJAI-SGAS@D23 | OSDI-OAKB@D23 | SEQM-LATI@D23 | SPIM-EDDI@D23",182,0
23-0000118,23,UBBB,SLLP,"LKPR-OOMS@D23 | SVMI-SBBR@D23 | LOWW-OOMS@D23 | SUAA-OSDI@D23 | OPKC-UBBB@D23",183,0
23-0000119,23,UBBB,SCEL,"SPIM-EBCI@D23 | OOMS-VIDP@D23 | SABE-SEQM@D23 | EBCI-SEQM@D23 | VIDP-LBSF@D23",139,44
23-0000119,23,UBBB,SCEL,"EHAM-SPIM@D23 | LATI-OJAI@D23 | SBBR-LATI@D23 | UMMS-VIDP@D23 | OERK-LKPR@D23",44,0
23-0000120,23,UBBB,SABE,"LATI-OJAI@D23 | VIDP-SEQM@D23 | SCEL-EBCI@D23 | EDDI-VIDP@D23 | EDDI-UMMS@D23",184,0
24-0000121,24,UBBB,SGAS,"UMMS-LKPR@D24 | LDZA-OAKB@D24 | SPIM-SBBR@D24 | OPKC-LBSF@D24 | OSDI-SUAA@D24",184,0
24-0000122,24,UBBB,SUAA,"SBBR-OAKB@D24 | OPKC-SBBR@D24 | SUAA-SEQM@D24 | SPIM-EHAM@D24 | OJAI-EHAM@D24",185,0
24-0000123,24,UBBB,LATI,"LOWW-SEQM@D24 | SCEL-EBCI@D24 | OYSN-OERK@D24 | OJAI-EKCH@D24 | SBBR-VIDP@D24",117,68
24-0000123,24,UBBB,LATI,"LOWW-OPKC@D24 | SBBR-OPKC@D24 | LOWW-SCEL@D24 | OYSN-OPKC@D24 | SCEL-LKPR@D24",68,0
24-0000124,24,SPIM,EDDI,"EHAM-SABE@D24 | LKPR-SVMI@D24 | LOWW-EDDI@D24 | SUAA-VIDP@D24 | OOMS-LATI@D24",186,0
24-0000125,24,UBBB,LOWW,"LKPR-SABE@D24 | OOMS-OMDB@D24 | OMDB-SPIM@D24 | SPIM-OPKC@D24 | VIDP-SPIM@D24",186,0
25-0000126,25,UBBB,LKPR,"LKPR-SABE@D25 | SBBR-OSDI@D25 | SLLP-OSDI@D25 | LKPR-SVMI@D25 | OOMS-SPIM@D25",187,0
25-0000127,25,UBBB,LDZA,"OPKC-VIDP@D25 | LDZA-EKCH@D25 | SUAA-OPKC@D25 | LBSF-LATI@D25 | EBCI-SPIM@D25",187,0
25-0000128,25,SPIM,EKCH,"LBSF-VIDP@D25 | OJAI-SUAA@D25 | SCEL-SABE@D25 | OOMS-VIDP@D25 | LKPR-OOMS@D25",139,49
25-0000128,25,SPIM,EKCH,"OYSN-LKPR@D25 | OSDI-SGAS@D25 | OSDI-SPIM@D25 | EHAM-SABE@D25 | OOMS-SCEL@D25",49,0
25-0000129,25,EBCI,EHAM,"OERK-OAKB@D25 | SPIM-OYSN@D25 | UBBB-OJAI@D25 | EHAM-OPKC@D25 | OYSN-SEQM@D25",188,0
25-0000130,25,SPIM,VIDP,"SVMI-EKCH@D25 | LBSF-SUAA@D25 | SKBO-OSDI@D25 | SBBR-LDZA@D25 | SBBR-EHAM@D25",189,0
26-0000131,26,SPIM,OSDI,"SCEL-SVMI@D26 | EHAM-EBCI@D26 | VIDP-UMMS@D26 | EKCH-EBCI@D26 | SUAA-OOMS@D26",132,57
26-0000131,26,SPIM,OSDI,"SUAA-SBBR@D26 | EKCH-UMMS@D26 | SPIM-EHAM@D26 | SBBR-VIDP@D26 | OYSN-UMMS@D26",33,24
26-0000131,26,SPIM,OSDI,"OMDB-OOMS@D26 | SKBO-OAKB@D26 | EHAM-OSDI@D26 | UBBB-OSDI@D26 | SUAA-OERK@D26",24,0
26-0000132,26,EBCI,OERK,"SLLP-EKCH@D26 | LDZA-LOWW@D26 | VIDP-LATI@D26 | EHAM-EDDI@D26 | OPKC-SKBO@D26",190,0
26-0000133,26,EBCI,OOMS,"SCEL-OAKB@D26 | LKPR-SEQM@D26 | OYSN-OERK@D26 | UBBB-OSDI@D26 | SGAS-SPIM@D26",144,46
26-0000133,26,EBCI,OOMS,"OYSN-LKPR@D26 | LDZA-SUAA@D26 | SEQM-OJAI@D26 | EBCI-LKPR@D26 | SABE-UBBB@D26",46,0
26-0000134,26,SPIM,OYSN,"EDDI-UMMS@D26 | SKBO-LATI@D26 | OMDB-OERK@D26 | SPIM-EHAM@D26 | UBBB-SPIM@D26",191,0
26-0000135,26,UBBB,OMDB,"SBBR-VIDP@D26 | SVMI-OSDI@D26 | VIDP-LATI@D26 | EDDI-SKBO@D26 | OOMS-OERK@D26",140,51
26-0000135,26,UBBB,OMDB,"OJAI-SBBR@D26 | OSDI-SLLP@D26 | SABE-LKPR@D26 | LBSF-OOMS@D26 | SBBR-OSDI@D26",51,0
27-0000136,27,EBCI,OJAI,"SLLP-UBBB@D27 | LATI-OOMS@D27 | SGAS-SUAA@D27 | VIDP-LATI@D27 | OAKB-SGAS@D27",133,59
27-0000136,27,EBCI,OJAI,"EDDI-UMMS@D27 | SKBO-UMMS@D27 | VIDP-LATI@D27 | SKBO-EDDI@D27 | OOMS-LOWW@D27",59,0
27-0000137,27,SPIM,UMMS,"SUAA-SBBR@D27 | OSDI-VIDP@D27 | OMDB-SBBR@D27 | OYSN-OERK@D27 | SCEL-LATI@D27",192,0
27-0000138,27,UBBB,SVMI,"SKBO-SBBR@D27 | SVMI-SEQM@D27 | SVMI-OAKB@D27 | EBCI-SEQM@D27 | OPKC-UMMS@D27",193,0
27-0000139,27,SPIM,SKBO,"LOWW-EKCH@D27 | SVMI-OSDI@D27 | VIDP-LOWW@D27 | LATI-SLLP@D27 | OPKC-SEQM@D27",43,150
27-0000139,27,SPIM,SKBO,"SVMI-EHAM@D27 | OERK-SGAS@D27 | SKBO-EDDI@D27 | VIDP-LDZA@D27 | SVMI-SKBO@D27",150,0
27-0000140,27,UBBB,SEQM,"OYSN-OMDB@D27 | LOWW-SUAA@D27 | OJAI-SGAS@D27 | OSDI-SCEL@D27 | SGAS-OERK@D27",194,0
28-0000141,28,UBBB,SBBR,"OJAI-OPKC@D28 | OERK-LDZA@D28 | SGAS-EHAM@D28 | OYSN-OPKC@D28 | UMMS-EHAM@D28",194,0
28-0000142,28,SPIM,SLLP,"EHAM-SLLP@D28 | SKBO-SCEL@D28 | OAKB-SLLP@D28 | LATI-OOMS@D28 | OAKB-VIDP@D28",133,62
28-0000142,28,SPIM,SLLP,"OMDB-SLLP@D28 | SLLP-OYSN@D28 | SBBR-OJAI@D28 | LKPR-OOMS@D28 | UMMS-SVMI@D28",62,0
28-0000143,28,SPIM,SCEL,"OYSN-SUAA@D28 | OOMS-EHAM@D28 | UBBB-EHAM@D28 | SKBO-EDDI@D28 | UMMS-EBCI@D28",195,0
28-0000144,28,UBBB,SABE,"SLLP-LATI@D28 | SEQM-OYSN@D28 | EBCI-OYSN@D28 | EKCH-SCEL@D28 | OSDI-SVMI@D28",196,0
28-0000145,28,EBCI,SGAS,"OPKC-VIDP@D28 | SPIM-LKPR@D28 | OERK-LATI@D28 | SCEL-SGAS@D28 | UMMS-SGAS@D28",196,0
29-0000146,29,EBCI,SUAA,"LKPR-EHAM@D29 | SKBO-LATI@D29 | UMMS-LKPR@D29 | SUAA-SGAS@D29 | UBBB-LATI@D29",197,0
29-0000147,29,UBBB,LATI,"SCEL-LATI@D29 | EDDI-OOMS@D29 | EKCH-LBSF@D29 | OOMS-VIDP@D29 | OAKB-VIDP@D29",139,58
29-0000147,29,UBBB,LATI,"OSDI-UBBB@D29 | OAKB-LKPR@D29 | OOMS-OJAI@D29 | UMMS-SUAA@D29 | SEQM-LKPR@D29",58,0
29-0000148,29,EBCI,EDDI,"UMMS-LBSF@D29 | SVMI-LOWW@D29 | OPKC-SPIM@D29 | OYSN-EHAM@D29 | SEQM-UMMS@D29",198,0
29-0000149,29,UBBB,LOWW,"VIDP-SBBR@D29 | OSDI-OYSN@D29 | OJAI-SUAA@D29 | SEQM-OSDI@D29 | SUAA-UBBB@D29",198,0
29-0000150,29,UBBB,LKPR,"SUAA-SBBR@D29 | SLLP-SEQM@D29 | SEQM-OYSN@D29 | UMMS-LOWW@D29 | EHAM-SCEL@D29",199,0
30-0000151,30,SPIM,LDZA,"EDDI-SUAA@D30 | LKPR-SBBR@D30 | SPIM-OAKB@D30 | SEQM-EBCI@D30 | OMDB-EHAM@D30",199,0
30-0000152,30,EBCI,EKCH,"LKPR-LATI@D30 | UBBB-SVMI@D30 | SGAS-LKPR@D30 | UMMS-LBSF@D30 | EDDI-SKBO@D30",140,60
30-0000152,30,EBCI,EKCH,"EKCH-LOWW@D30 | OJAI-SUAA@D30 | SVMI-OAKB@D30 | SGAS-SBBR@D30 | VIDP-SCEL@D30",60,0
30-0000153,30,EBCI,EHAM,"LBSF-OAKB@D30 | LATI-LOWW@D30 | EBCI-LKPR@D30 | SCEL-LATI@D30 | SLLP-OMDB@D30",159,41
30-0000153,30,EBCI,EHAM,"SABE-LOWW@D30 | LOWW-SGAS@D30 | EBCI-SKBO@D30 | SLLP-OYSN@D30 | SBBR-LATI@D30",41,0
30-0000154,30,UBBB,VIDP,"EKCH-LOWW@D30 | SLLP-OJAI@D30 | EHAM-LBSF@D30 | EBCI-LATI@D30 | LOWW-SBBR@D30",201,0
30-0000155,30,EBCI,OSDI,"LBSF-EDDI@D30 | SGAS-EDDI@D30 | LDZA-OSDI@D30 | SVMI-SGAS@D30 | OPKC-SPIM@D30",128,73
30-0000155,30,EBCI,OSDI,"UBBB-LDZA@D30 | OYSN-UMMS@D30 | SGAS-LOWW@D30 | OJAI-OOMS@D30 | SCEL-UMMS@D30",73,0
