Gen,BestRoute,BestFitness,Avg,Worst
24,"[AMS-LHR, JFK-YYZ, PEK-HND, FRA-AMS, MAD-FRA, SPIM-JFK, FRA-DXB, EBCI-JFK, JFK-LAX, DXB-BOM, SPIM-DXB, SPIM-FRA, MAD-AMS, UBBB-PEK, SPIM-MAD]",0.00,0.00,0.00
25,"[FRA-DXB, UBBB-PEK, JFK-YYZ, JFK-LAX, SPIM-JFK, SPIM-DXB, SPIM-FRA, DXB-BOM, AMS-LHR, FRA-AMS, PEK-HND, MAD-AMS, MAD-FRA, EBCI-JFK, SPIM-MAD]",0.00,0.00,0.00
26,"[FRA-DXB, JFK-YYZ, JFK-LAX, FRA-AMS, SPIM-FRA, UBBB-PEK, SPIM-DXB, DXB-BOM, SPIM-JFK, AMS-LHR, PEK-HND, MAD-AMS, MAD-FRA, EBCI-JFK, SPIM-MAD]",0.00,0.00,0.00
27,"[FRA-AMS, FRA-DXB, UBBB-PEK, JFK-YYZ, JFK-LAX, DXB-BOM, SPIM-DXB, MAD-AMS, PEK-HND, AMS-LHR, SPIM-FRA, EBCI-JFK, MAD-FRA, SPIM-JFK, SPIM-MAD]",0.00,0.00,0.00
28,"[FRA-DXB, JFK-YYZ, JFK-LAX, FRA-AMS, SPIM-FRA, PEK-HND, SPIM-DXB, UBBB-PEK, DXB-BOM, SPIM-JFK, MAD-AMS, AMS-LHR, MAD-FRA, EBCI-JFK, SPIM-MAD]",0.00,0.00,0.00
29,"[FRA-DXB, UBBB-PEK, JFK-YYZ, JFK-LAX, DXB-BOM, SPIM-DXB, MAD-AMS, PEK-HND, SPIM-FRA, AMS-LHR, SPIM-JFK, FRA-AMS, MAD-FRA, EBCI-JFK, SPIM-MAD]",0.00,0.00,0.00
30,"[FRA-AMS, FRA-DXB, UBBB-PEK, JFK-YYZ, JFK-LAX, DXB-BOM, SPIM-JFK, MAD-FRA, MAD-AMS, SPIM-DXB, PEK-HND, EBCI-JFK, SPIM-FRA, AMS-LHR, SPIM-MAD]",0.00,0.00,0.00
31,"[FRA-DXB, UBBB-PEK, JFK-YYZ, JFK-LAX, FRA-AMS, AMS-LHR, PEK-HND, MAD-FRA, MAD-AMS, DXB-BOM, SPIM-DXB, SPIM-JFK, SPIM-FRA, EBCI-JFK, SPIM-MAD]",0.00,0.00,0.00
32,"[FRA-DXB, FRA-AMS, UBBB-PEK, JFK-YYZ, JFK-LAX, DXB-BOM, SPIM-JFK, MAD-FRA, MAD-AMS, SPIM-DXB, SPIM-FRA, AMS-LHR, EBCI-JFK, PEK-HND, SPIM-MAD]",0.00,0.00,0.00
33,"[FRA-DXB, JFK-YYZ, JFK-LAX, FRA-AMS, SPIM-DXB, DXB-BOM, SPIM-JFK, UBBB-PEK, MAD-FRA, MAD-AMS, PEK-HND, EBCI-JFK, SPIM-FRA, AMS-LHR, SPIM-MAD]",0.00,0.00,0.00
